Entity Name,Domain,Sub-Domain,Entity Type
Armoured Vehicles Nigam,Business,Indian Business,ORG
Aroor Raja,Business,Indian Business,PERSON
Arumugham Mahendran,Business,Indian Business,PERSON
Arun Firodia,Business,Indian Business,PERSON
Arun M. Kumar,Business,Indian Business,ORG
Arun Pudur,Business,Indian Business,PERSON
Aruna Jayanthi,Business,Indian Business,PERSON
Arunachalam Muruganantham,Business,Indian Business,PERSON
Arunkumar Mehta,Business,Indian Business,ORG
Arup Roy Choudhury,Business,Indian Business,ORG
Arvind Khanna,Business,Indian Business,ORG
Arvind Mediratta,Business,Indian Business,ORG
Arvind Narottambhai Lalbhai,Business,Indian Business,PERSON
Arvind Singh Mewar,Business,Indian Business,PERSON
Arvind Swamy,Business,Indian Business,PERSON
Aryan Khan,Business,Indian Business,PERSON
Ashish Chauhan,Business,Indian Business,PERSON
Ashish Dhawan,Business,Indian Business,ORG
Ashok Chauhan,Business,Indian Business,PERSON
Ashok Chavan,Business,Indian Business,PERSON
Ashok Group,Business,Indian Business,ORG
Ashok Khade,Business,Indian Business,ORG
Ashok Kumar Jain,Business,Indian Business,PERSON
Ashok Sawhny,Business,Indian Business,PERSON
Ashok Soota,Business,Indian Business,PERSON
Ashok Todi,Business,Indian Business,ORG
Ashok Vemuri,Business,Indian Business,PERSON
Ashutosh Chilkoti,Business,Indian Business,ORG
Ashwajit Singh,Business,Indian Business,PERSON
Ashwin Choksi,Business,Indian Business,ORG
Ashwin Dani,Business,Indian Business,ORG
Asim Ghosh,Business,Indian Business,PERSON
Atul Khatri,Business,Indian Business,PERSON
Atul Kumar Goel,Business,Indian Business,ORG
Atul Punj,Business,Indian Business,PERSON
Avani Davda,Business,Indian Business,ORG
Azad Moopen,Business,Indian Business,PERSON
Azim Premji,Business,Indian Business,PERSON
B. K. Goenka,Business,Indian Business,ORG
B. R. Shetty,Business,Indian Business,PERSON
B. Ravi Pillai,Business,Indian Business,ORG
B. S. Abdur Rahman,Business,Indian Business,ORG
B. S. Nagesh,Business,Indian Business,PERSON
B. V. R. Mohan Reddy,Business,Indian Business,PERSON
B. V. Raju,Business,Indian Business,PERSON
B.D. Goenka,Business,Indian Business,PERSON
BEML,Business,Indian Business,ORG
BP Agrawal,Business,Indian Business,PERSON
BSNL,Business,Indian Business,ORG
Baba Kalyani,Business,Indian Business,PERSON
Baburao Govindrao Shirke,Business,Indian Business,PERSON
Baburaoji Parkhe,Business,Indian Business,PERSON
Badruddin Ajmal,Business,Indian Business,ORG
Badshah,Business,Indian Business,PERSON
Bakul Harshadrai Dholakia,Business,Indian Business,PERSON
Bala Deshpande,Business,Indian Business,ORG
Bala V. Balachandran,Business,Indian Business,PERSON
Baldeo Das Birla,Business,Indian Business,PERSON
Bali Padda,Business,Indian Business,ORG
Balkrishna,Business,Indian Business,PERSON
Balmer Lawrie,Business,Indian Business,ORG
Balvant Parekh,Business,Indian Business,PERSON
Basant Kumar Birla,Business,Indian Business,PERSON
Bengal Chemicals and Pharmaceuticals,Business,Indian Business,ORG
Benu Gopal Bangur,Business,Indian Business,ORG
Best Ramasamy,Business,Indian Business,PERSON
Bhai Pratap Dialdas,Business,Indian Business,PERSON
Bharat Bhari Udyog Nigam,Business,Indian Business,ORG
Bharat Broadband Network,Business,Indian Business,ORG
Bharat Desai,Business,Indian Business,PERSON
